Descript|City|State|StateCode
MAN BURNS WOMAN TAX OFFICER ALIVE OFFICE TELANGANA|Hyderabad|Telangana|TG
MADHYA PRADESH: 16-YEAR-OLD GIRL RAPED FATHER BHIND|Bhind|Madhya Pradesh|MP
MAN KILLS WIFE UP AXE, BEATEN DEATH MOB ATTEMPTS FLEE|Banda|Uttar Pradesh|UP
GURGAON: MAN SHOT DEAD WOMAN BUSINESS PARTNER|Gurgaon|Haryana|HR
HYDERABAD MAN GIVES TRIPLE TALAQ WIFE HAVING CROOKED TEETH|Hyderabad|Telangana|TG
MAN REFUSES FIX MARRIAGE, WIFE HOME DIWALI; KILLED BROTHER-IN-LAW|Bhopal|Madhya Pradesh|MP
HYD WOMAN KILLS MOTHER OBJECTING AFFAIR 2 MEN|Hyderabad|Telangana|TG
UP POLICE RETRIEVE WOMAN'S BODY FUNERAL PYRE|Bulandshahr|Uttar Pradesh|UP
UP TEACHER SHOOTS CLASS 8 GIRL REJECTING ADVANCES|Kanpur|Uttar Pradesh|UP
DELHI: 3 BOYS APPREHENDED HARASSING 16-YEAR-OLD GIRL|New Delhi|Delhi|DL
MAHARASHTRA: 15-YEAR-OLD BOY HELD RAPING MINOR GIRL|Thane|Maharashtra|MH
MOTIHARI SHELTER HOME: 2 GIRLS FOUND, 2 MISSING|Motihari|Bihar|BR
BHOPAL: POLICE CREATE FAKE FACEBOOK ACCOUNT GIRL ARREST RAPE ACCUSED|Bhopal|Madhya Pradesh|MP
BIHAR: 3 GIRLS MISSING MOTIHARI-BASED SHELTER HOME|Motihari|Bihar|BR
4-YEAR-OLD GIRL FOUND DEAD TIN BOX, FAMILY SAYS VILLAGE WITCH DRANK BLOOD|Bhubaneshwar|Odisha|OR
MAN KILLS MOTHER-IN-LAW REFUSING PROSTITUTION|Bhopal|Madhya Pradesh|MP
RAGPICKERS RAPE GOA WOMAN WAITING DELHI BUS STAND, 1 ARRESTED|New Delhi|Delhi|DL
HARYANA MAN BOOKED ATTEMPTING KILL WIFE THROWING CANAL|Kurukshetra|Haryana|HR
DELHI: ST STEPHEN'S LECTURER MOTHER FOUND DEAD|New Delhi|Delhi|DL
HYDERABAD: MAN KILLS PET DOG PROPERTY DISPUTE SISTER, BOOKED|Hyderabad|Telangana|TG
UP: WOMAN ACCUSES HUSBAND GIVING TRIPLE TALAQ BIRTH GIRL CHILD, CASE REGISTERED|Sambal|Punjab|PB
MAN DUPES 50 WOMEN MEET EXPENSES 5 'WIVES'|Bhopal|Madhya Pradesh|MP
THANE MAN ARRESTED RAPING WOMAN, POSTING OBSCENE PICS ONLINE|Thane|Maharashtra|MH
MAN FEEDS POISONED JUICE SONS FIGHT WIFE|Hyderabad|Telangana|TG
PROVE GENDER, POLICE TELLS MOLESTED MUMBAI TRANSWOMAN FILING FIR|New Delhi|Delhi|DL
17-YEAR-OLD BOY TAKEN CUSTODY MOLESTING 5-YEAR-OLD GIRL|Amaravati|Maharashtra|MH
RAIGARH: MUNICIPAL OFFICIAL HELD RAPING WOMAN MARRIAGE PROMISE|Raigarh|Chhattisgarh|CT
ANGRY AHMEDABAD HUSBAND KISSES WIFE CUTS TONGUE|New Delhi|Delhi|DL
DELHI: 3 WOMEN HELD ROBBING WAR VETERAN HAUZ KHAS|New Delhi|Delhi|DL
